[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step   1650/8576 | loss 1.7696 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,922
step   1660/8576 | loss 1.7662 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,848
step   1670/8576 | loss 1.7825 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,912
step   1680/8576 | loss 1.7856 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,788
step   1690/8576 | loss 1.7631 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,680
step   1700/8576 | loss 1.7790 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,633
step   1710/8576 | loss 1.7771 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,830
step   1720/8576 | loss 1.7686 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,785
step   1730/8576 | loss 1.7644 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,819
step   1740/8576 | loss 1.7765 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,782
step   1750/8576 | loss 1.7745 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,769
step   1760/8576 | loss 1.7721 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,750
step   1770/8576 | loss 1.7881 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,695
step   1780/8576 | loss 1.7653 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,680
step   1790/8576 | loss 1.7740 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,913
step   1800/8576 | loss 1.7587 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,775
step   1810/8576 | loss 1.7627 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,692
step   1820/8576 | loss 1.7848 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,737
step   1830/8576 | loss 1.7624 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,667
step   1840/8576 | loss 1.7738 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,930
step   1850/8576 | loss 1.7554 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,731
step   1860/8576 | loss 1.7652 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,764
step   1870/8576 | loss 1.7622 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,736
step   1880/8576 | loss 1.7618 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,721
step   1890/8576 | loss 1.7710 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,726
step   1900/8576 | loss 1.7695 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,817
step   1910/8576 | loss 1.7811 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,703
step   1920/8576 | loss 1.7746 | lr 8.00e-05 | grad_norm 0.62 | tok/s 286,778
step   1930/8576 | loss 1.7727 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,753
step   1940/8576 | loss 1.7750 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,712
step   1950/8576 | loss 1.7674 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,593
step   1960/8576 | loss 1.7637 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,604
step   1970/8576 | loss 1.7819 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,964
step   1980/8576 | loss 1.7623 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,750
step   1990/8576 | loss 1.7790 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,649
step   2000/8576 | loss 1.7634 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,800
step   2010/8576 | loss 1.7650 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,717
step   2020/8576 | loss 1.7691 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,735
step   2030/8576 | loss 1.7582 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,845
step   2040/8576 | loss 1.7716 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,778
step   2050/8576 | loss 1.7732 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,838
step   2060/8576 | loss 1.7791 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,719
step   2070/8576 | loss 1.7646 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,759
step   2080/8576 | loss 1.7768 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,898
step   2090/8576 | loss 1.7783 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,752
step   2100/8576 | loss 1.7662 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,771
step   2110/8576 | loss 1.7856 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,993
step   2120/8576 | loss 1.7574 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,729
step   2130/8576 | loss 1.7694 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,764
step   2140/8576 | loss 1.7655 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,785
step   2150/8576 | loss 1.7623 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,806
step   2160/8576 | loss 1.7732 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,772
step   2170/8576 | loss 1.7593 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,718
step   2180/8576 | loss 1.7739 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,715
step   2190/8576 | loss 1.7685 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,821
step   2200/8576 | loss 1.7685 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,877
step   2210/8576 | loss 1.7805 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,724
step   2220/8576 | loss 1.7688 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,821
step   2230/8576 | loss 1.7517 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,816
step   2240/8576 | loss 1.7588 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,781
step   2250/8576 | loss 1.7689 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,862
step   2260/8576 | loss 1.7653 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,809
step   2270/8576 | loss 1.7530 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,691
step   2280/8576 | loss 1.7644 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,917
step   2290/8576 | loss 1.7697 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,720
step   2300/8576 | loss 1.7584 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,917
step   2310/8576 | loss 1.7741 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,745
step   2320/8576 | loss 1.7676 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,802
step   2330/8576 | loss 1.7755 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,763
step   2340/8576 | loss 1.7611 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,981
step   2350/8576 | loss 1.7800 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,750
step   2360/8576 | loss 1.7631 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,902
step   2370/8576 | loss 1.7588 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,747
step   2380/8576 | loss 1.7672 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,963
step   2390/8576 | loss 1.7586 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,864
step   2400/8576 | loss 1.7572 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,781
step   2410/8576 | loss 1.7628 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,796
step   2420/8576 | loss 1.7383 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,843
step   2430/8576 | loss 1.7576 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,896
step   2440/8576 | loss 1.7657 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,945
step   2450/8576 | loss 1.7480 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,806
step   2460/8576 | loss 1.7664 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,746
step   2470/8576 | loss 1.7687 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,913
step   2480/8576 | loss 1.7614 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,786
step   2490/8576 | loss 1.7542 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,902
step   2500/8576 | loss 1.7681 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,919
step   2510/8576 | loss 1.7622 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,800
step   2520/8576 | loss 1.7581 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,798
step   2530/8576 | loss 1.7491 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,902
step   2540/8576 | loss 1.7501 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,854
step   2550/8576 | loss 1.7494 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,929
step   2560/8576 | loss 1.7601 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,981
step   2570/8576 | loss 1.7587 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,761
step   2580/8576 | loss 1.7553 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,886
step   2590/8576 | loss 1.7540 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,726
step   2600/8576 | loss 1.7500 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,779
step   2610/8576 | loss 1.7604 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,896
step   2620/8576 | loss 1.7783 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,872
step   2630/8576 | loss 1.7642 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,906
step   2640/8576 | loss 1.7513 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,883
step   2650/8576 | loss 1.7545 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,762
step   2660/8576 | loss 1.7408 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,827
step   2670/8576 | loss 1.7483 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,688
step   2680/8576 | loss 1.7454 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,717
step   2690/8576 | loss 1.7424 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,853
step   2700/8576 | loss 1.7386 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,794
