[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step   2310/13952 | loss 1.7742 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,303
step   2320/13952 | loss 1.7677 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,179
step   2330/13952 | loss 1.7756 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,150
step   2340/13952 | loss 1.7613 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,281
step   2350/13952 | loss 1.7802 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,283
step   2360/13952 | loss 1.7633 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,219
step   2370/13952 | loss 1.7589 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,268
step   2380/13952 | loss 1.7673 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,245
step   2390/13952 | loss 1.7588 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,268
step   2400/13952 | loss 1.7573 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,187
step   2410/13952 | loss 1.7629 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,134
step   2420/13952 | loss 1.7381 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,240
step   2430/13952 | loss 1.7576 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,125
step   2440/13952 | loss 1.7659 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,273
step   2450/13952 | loss 1.7481 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,274
step   2460/13952 | loss 1.7665 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,113
step   2470/13952 | loss 1.7687 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,251
step   2480/13952 | loss 1.7615 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,234
step   2490/13952 | loss 1.7543 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,209
step   2500/13952 | loss 1.7682 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,289
step   2510/13952 | loss 1.7623 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,243
step   2520/13952 | loss 1.7582 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,263
step   2530/13952 | loss 1.7492 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,104
step   2540/13952 | loss 1.7501 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,213
step   2550/13952 | loss 1.7494 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,199
step   2560/13952 | loss 1.7604 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,261
step   2570/13952 | loss 1.7588 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,305
step   2580/13952 | loss 1.7553 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,220
step   2590/13952 | loss 1.7541 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,291
step   2600/13952 | loss 1.7501 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,227
